#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Cultures

polynesian;Polynesian;;;;;;;;;;;;;x
samoan;Samoan;;;;;;;;;;;;;x
tongan;Tongan;;;;;;;;;;;;;x
itaukei;iTaukei;;;;;;;;;;;;;x
indian;Indian;;;;;;;;;;;;;x
indo-fijian;Indo-Fijian;;;;;;;;;;;;;x
melanesian;Melanesian;;;;;;;;;;;;;x
ni-vanuatu;Ni-Vanuatu;;;;;;;;;;;;;x
kanadonien;Kanadonien;;;;;;;;;;;;;x
greater_micronesian;Micronesian;;;;;;;;;;;;;x
i-kiribati;Tungaru;;;;;;;;;;;;;x
marshallese;Marshallese;;;;;;;;;;;;;x
micronesian;Micronesian;;;;;;;;;;;;;x
chamorro;Chamorro;;;;;;;;;;;;;x
nihonjin;Nihonjin;;;;;;;;;;;;;x
bonin;Bonin;;;;;;;;;;;;;x


#Religions

franco-catholique;Franco-Catholique;;;;;;;;;;;;;x
marist;Marist;;;;;;;;;;;;;x
katoliko;Katoliko;;;;;;;;;;;;;x
methodist;Methodist;;;;;;;;;;;;;x
wesleyan;Wesleyan;;;;;;;;;;;;;x
indian_group;Dharmic;;;;;;;;;;;;x
fijian_hindu;Fijian Hindu;;;;;;;;;;;;;x
latter_day_saints;Latter-Day Saints;;;;;;;;;;;;;x
mormon;Mormon;;;;;;;;;;;;;x
smithite;Smithite;;;;;;;;;;;;;x
trinitarian;Trinitarian;;;;;;;;;;;;;x
traditionalist;Traditionalist;;;;;;;;;;;;;x
oldworld;Old World Cultist;;;;;;;;;;;;;x
john_frum_cultist;John Frum Cultist;;;;;;;;;;;;;x
congregational;Congregational;;;;;;;;;;;;;x
congregational_reformed;Congregational;;;;;;;;;;;;;x



