#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Religious Titles

d_anglican;Archdiocese of Melanesia;;;;;;;;;;;;;x
d_franco-catholique;Archdiocese of Noumea;;;;;;;;;;;;;x
d_john_frum_cultist;Presidency of the John Frum Movement;;;;;;;;;;;;;x
d_methodist;Methodist Presidency;;;;;;;;;;;;;x
d_mormon;Presidency of the Church of Latter-Day Saints;;;;;;;;;;;;;x
k_katoliko;Katoliko Papacy;;;;;;;;;;;;;x


#Mercenary Titles

d_manu_samoa;Manu Samoa;;;;;;;;;;;;;x
d_sea_eagles;Sea Eagles;;;;;;;;;;;;;x
d_flying_fijians;Flying Fijians;;;;;;;;;;;;;x

#Styles

CAPTAIN;Captain;;;;;;;;;;;;;x
MAJOR_ARCHBISHOP;Major Archbishop;;;;;;;;;;;;;x
PRESIDENT;President;;;;;;;;;;;;;x

#FOAs

ARCHBISHOP_FOA;Your Excellency;;;;;;;;;;;;;x
CAPTAIN_FOA;Sir;;;;;;;;;;;;;x







