#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_atua;Atua;Atua;Atua;;Atua;;;;;;;;;x
c_atua_adj;Atuan;;ater;;;;;;;;;;;x
c_ba;Ba;Ba;Ba;;Ba;;;;;;;;;x
c_ba_adj;Ban;;ber;;;;;;;;;;;x
c_bourail;Bourail;Bourail;Bourail;;Bourail;;;;;;;;;x
c_bourail_adj;Bourailian;;bourailer;;;;;;;;;;;x
c_bua;Bua;Bua;Bua;;Bua;;;;;;;;;x
c_bua_adj;Buan;;ber;;;;;;;;;;;x
c_cakaudrove;Cakaudrove;Cakaudrove;Cakaudrove;;Cakaudrove;;;;;;;;;x
c_cakaudrove_adj;Cakaudrovean;;cakaudrover;;;;;;;;;;;x
c_central_tungaru;Central Tungaru;Central Tungaru;Central Tungaru;;Central Tungaru;;;;;;;;;x
c_central_tungaru_adj;Central Tungarian;;Central Tungarer;;;;;;;;;;;x
c_chuuk;Chuuk;Chuuk;Chuuk;;Chuuk;;;;;;;;;x
c_chuuk_adj;Chuukian;;chuuker;;;;;;;;;;;x
c_enewetak;Enewetak;Enewetak;Enewetak;;Enewetak;;;;;;;;;x
c_enewetak_adj;Enewetakian;;enewetaker;;;;;;;;;;;x
c_faasaleleaga;Fa'asaleleaga;Fa'asaleleaga;Fa'asaleleaga;;Fa'asaleleaga;;;;;;;;;x
c_faasaleleaga_adj;Fa'asaleleagan;;fa'asaleleager;;;;;;;;;;;x
c_futuna;Futuna;Futuna;Futuna;;Futuna;;;;;;;;;x
c_futuna_adj;Futunan;;futuner;;;;;;;;;;;x
c_guam;Guam;Guam;Guam;;Guam;;;;;;;;;x
c_guam_adj;Guamian;;guamer;;;;;;;;;;;x
c_haapai;Ha'apai;Ha'apai;Ha'apai;;Ha'apai;;;;;;;;;x
c_haapai_adj;Ha'apian;;ha'aper;;;;;;;;;;;x
c_jaluit;Jaluit;Jaluit;Jaluit;;Jaluit;;;;;;;;;x
c_jaluit_adj;Jaluitian;;jaluiter;;;;;;;;;;;x
c_kadavu;Kadavu;Kadavu;Kadavu;;Kadavu;;;;;;;;;x
c_kadavu_adj;Kadavian;;kadaver;;;;;;;;;;;x
c_kone;Kone;Kone;Kone;;Kone;;;;;;;;;x
c_kone_adj;Konean;;koner;;;;;;;;;;;x
c_kosrae;Kosrae;Kosrae;Kosrae;;Kosrae;;;;;;;;;x
c_kosrae_adj;Kosraean;;kosrer;;;;;;;;;;;x
c_kwajalein;Kwajalein;Kwajalein;Kwajalein;;Kwajalein;;;;;;;;;x
c_kwajalein_adj;Kwajaleinian;;kwajaleiner;;;;;;;;;;;x
c_lau;Lau;Lau;Lau;;Lau;;;;;;;;;x
c_lau_adj;Lian;;ler;;;;;;;;;;;x
c_lomaiviti;Lomaiviti;Lomaiviti;Lomaiviti;;Lomaiviti;;;;;;;;;x
c_lomaiviti_adj;Lomaivitian;;lomaiviter;;;;;;;;;;;x
c_loyalty_islands;Loyalty Islands;Loyalty Islands;Loyalty Islands;;Loyalty Islands;;;;;;;;;x
c_loyalty_islands_adj;Loyalty Islandsian;;Loyalty Islandser;;;;;;;;;;;x
c_macuata;Macuata;Macuata;Macuata;;Macuata;;;;;;;;;x
c_macuata_adj;Macuatan;;macuater;;;;;;;;;;;x
c_majuro;Majuro;Majuro;Majuro;;Majuro;;;;;;;;;x
c_majuro_adj;Majurian;;majurer;;;;;;;;;;;x
c_malampa;Malampa;Malampa;Malampa;;Malampa;;;;;;;;;x
c_malampa_adj;Malampan;;malamper;;;;;;;;;;;x
c_mamanuca;Mamanuca;Mamanuca;Mamanuca;;Mamanuca;;;;;;;;;x
c_mamanuca_adj;Mamanucan;;mamanucer;;;;;;;;;;;x
c_nadroga;Nadroga;Nadroga;Nadroga;;Nadroga;;;;;;;;;x
c_nadroga_adj;Nadrogan;;nadroger;;;;;;;;;;;x
c_nauru;Nauru;Nauru;Nauru;;Nauru;;;;;;;;;x
c_nauru_adj;Naurian;;naurer;;;;;;;;;;;x
c_niua;Niua;Niua;Niua;;Niua;;;;;;;;;x
c_niua_adj;Niuan;;ner;;;;;;;;;;;x
c_niue;Niue;Niue;Niue;;Niue;;;;;;;;;x
