#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_caledonia;Caledonia;Caledonia;Caledonia;;Caledonia;;;;;;;;;x
d_caledonia_adj;Caledonian;;caledoner;;;;;;;;;;;x
d_koro;Koro;Koro;Koro;;Koro;;;;;;;;;x
d_koro_adj;Korian;;korer;;;;;;;;;;;x
d_mariana_islands;Mariana Islands;Mariana Islands;Mariana Islands;;Mariana Islands;;;;;;;;;x
d_mariana_islands_adj;Mariana Islandsian;;Mariana Islandser;;;;;;;;;;;x
d_marshall_islands;Marshall Islands;Marshall Islands;Marshall Islands;;Marshall Islands;;;;;;;;;x
d_marshall_islands_adj;Marshall Islandsian;;Marshall Islandser;;;;;;;;;;;x
d_micronesia;Micronesia;Micronesia;Micronesia;;Micronesia;;;;;;;;;x
d_micronesia_adj;Micronesian;;microneser;;;;;;;;;;;x
d_nauru;Nauru;Nauru;Nauru;;Nauru;;;;;;;;;x
d_nauru_adj;Naurian;;naurer;;;;;;;;;;;x
d_niue;Niue;Niue;Niue;;Niue;;;;;;;;;x
d_niue_adj;Niuean;;ner;;;;;;;;;;;x
d_north_polynesia;North Polynesia;North Polynesia;North Polynesia;;North Polynesia;;;;;;;;;x
d_north_polynesia_adj;North Polynesian;;North Polyneser;;;;;;;;;;;x
d_palau;Palau;Palau;Palau;;Palau;;;;;;;;;x
d_palau_adj;Palian;;paler;;;;;;;;;;;x
d_samoa;Samoa;Samoa;Samoa;;Samoa;;;;;;;;;x
d_samoa_adj;Samoan;;samer;;;;;;;;;;;x
d_tonga;Tonga;Tonga;Tonga;;Tonga;;;;;;;;;x
d_tonga_adj;Tongan;;tonger;;;;;;;;;;;x
d_tungaru;Tungaru;Tungaru;Tungaru;;Tungaru;;;;;;;;;x
d_tungaru_adj;Tungarian;;tungarer;;;;;;;;;;;x
d_uvea_mo_futuna;'Uvea mo Futuna;'Uvea mo Futuna;'Uvea mo Futuna;;'Uvea mo Futuna;;;;;;;;;x
d_uvea_mo_futuna_adj;'Uvea mo Futunan;;'Uvea mo Futuner;;;;;;;;;;;x
d_vanua_levu;Vanua Levu;Vanua Levu;Vanua Levu;;Vanua Levu;;;;;;;;;x
d_vanua_levu_adj;Vanua Levian;;Vanua Lever;;;;;;;;;;;x
d_vanuatu;Vanuatu;Vanuatu;Vanuatu;;Vanuatu;;;;;;;;;x
d_vanuatu_adj;Vanuatian;;vanuater;;;;;;;;;;;x
d_viti_levu;Viti Levu;Viti Levu;Viti Levu;;Viti Levu;;;;;;;;;x
d_viti_levu_adj;Viti Levian;;Viti Lever;;;;;;;;;;;x
